n,dp_time_ms,result
2,0.059085991233587265,"[array([4.44934385]), array([0.78241047]), array([1.79373464]), array([0.21852176]), array([0.73100497]), array([-1.5040894]), array([3.62604436]), array([1.12561203]), array([2.98629178]), array([2.43159832]), array([7.05609351]), array([3.93353614]), array([2.94487769]), array([5.06367297]), array([3.27686318]), array([4.41611697]), array([6.09822005]), array([4.14979079]), array([5.64963366]), array([2.32075701])]"
10,0.007165782153606415,"[array([12.72783264]), array([9.48719542]), array([6.99340121]), array([9.44044725]), array([9.27176093]), array([9.90718268]), array([8.61950104]), array([7.15367108]), array([8.46749257]), array([9.58436467]), array([6.42883582]), array([14.65673935]), array([8.66474472]), array([9.33150832]), array([9.14779549]), array([11.66635422]), array([10.02120112]), array([9.61440051]), array([9.03061759]), array([10.14862158])]"
100,0.008203217294067144,"[array([93.00297894]), array([89.59398069]), array([96.83942397]), array([95.14561461]), array([89.8488148]), array([93.87456873]), array([88.50526871]), array([91.35098726]), array([90.01979044]), array([91.25095147]), array([91.38087938]), array([95.81329479]), array([93.19034067]), array([96.03692989]), array([93.18083185]), array([96.59353691]), array([91.58902684]), array([93.02369533]), array([96.68114003]), array([91.43423853])]"
250,0.011292379349470139,"[array([259.84478516]), array([259.58535277]), array([256.52922064]), array([261.28970687]), array([260.40895272]), array([258.67321892]), array([249.80523596]), array([257.5987788]), array([264.8855611]), array([257.72993965]), array([257.10952007]), array([255.92303555]), array([257.86123412]), array([257.27887175]), array([256.64361666]), array([258.084131]), array([257.9015866]), array([256.98298657]), array([254.49373111]), array([258.88332286])]"
500,0.01626760931685567,"[array([505.71562442]), array([506.19064375]), array([506.0761481]), array([509.51411672]), array([509.87316401]), array([507.89911945]), array([503.44005038]), array([506.15100236]), array([507.36514622]), array([504.39367385]), array([512.40541257]), array([514.36301027]), array([508.77875867]), array([506.34632745]), array([507.65309057]), array([507.90771376]), array([506.97095056]), array([510.73573833]), array([507.76403102]), array([510.1476628])]"
